Cement,Water,Coarse,Fine,Strength
-1.5828e+00,4.8786e-01,-8.1123e-01,1.4756e+00,-8.0636e-01
-1.1701e+00,-2.6171e-01,2.2060e-01,1.9128e-01,-1.8110e-01
1.6492e-01,2.2551e-01,-1.2075e+00,5.1829e-01,4.1234e-01
1.6492e-01,-8.4263e-01,-2.5286e-01,1.2887e-01,5.7041e-03
-1.3563e+00,4.8786e-01,9.5395e-01,4.1470e-01,-1.2725e+00
-1.0714e-02,-4.3036e-01,-1.9010e+00,3.8973e-01,1.0244e+00
-8.7257e-01,2.1744e+00,-5.2561e-01,-1.2940e+00,1.0760e+00
-1.2478e+00,-7.0208e-01,2.3604e-01,-1.8414e-02,-1.2136e+00
-8.7257e-01,2.1744e+00,-5.2561e-01,-1.2940e+00,3.0542e-01
-1.3908e+00,-4.4910e-01,-6.4141e-01,-1.2076e-01,-4.0273e-01
-1.1797e+00,1.7996e+00,-9.6305e-01,-7.5732e-01,-1.6359e+00
-5.5822e-02,-1.0347e+00,1.0389e+00,4.7738e-02,9.3430e-01
-9.5511e-01,-5.6154e-01,1.0646e+00,5.1482e-02,-4.8082e-01
-1.3400e+00,1.0266e+00,-1.3557e-02,-3.1423e-01,2.3335e-01
-2.5833e-01,7.6895e-01,-6.2447e-02,1.1149e+00,-1.5896e+00
-7.7659e-01,3.9417e-01,2.2148e+00,-1.4188e+00,8.0936e-01
1.0757e+00,4.8786e-01,-4.1497e-01,1.4884e-01,7.8534e-01
9.1019e-02,-6.3181e-01,-1.4993e-01,1.1399e+00,-6.6373e-02
6.6303e-01,1.0032e+00,1.4747e-02,1.6534e-02,-1.0598e+00
6.5343e-01,4.8786e-01,9.5395e-01,4.0346e-01,-1.8350e-01
-8.5337e-01,4.8786e-01,-5.5392e-01,-7.1863e-01,-1.3806e+00
7.7583e-02,4.8786e-01,-7.6749e-01,1.5181e+00,-6.1296e-01
1.5844e+00,-9.1758e-01,-7.5313e-02,-7.6980e-01,1.1697e+00
5.4690e-01,-3.1324e-01,-3.6222e-01,-2.2311e-01,8.4841e-01
7.8396e-01,-7.8172e-01,-3.6222e-01,-2.2311e-01,-2.8533e-02
9.4615e-01,-1.2971e+00,2.0771e+00,-2.1053e+00,9.8655e-01
-4.9155e-01,6.3778e-01,7.1078e-01,-2.0065e-01,3.0542e-01
5.8625e-01,2.1744e+00,-5.2561e-01,-1.2940e+00,1.1583e+00
7.7583e-02,4.8786e-01,-7.6749e-01,1.5181e+00,-1.4491e+00
-9.5511e-01,-5.6154e-01,1.0646e+00,5.1482e-02,-1.3307e+00
-5.5822e-02,-1.0347e+00,1.0389e+00,4.7738e-02,1.3716e+00
6.5343e-01,4.8786e-01,9.5395e-01,4.0346e-01,2.2314e-01
3.1080e-01,-2.8513e-01,9.5266e-01,-2.0205e+00,1.7494e+00
-9.8774e-01,-7.9000e-02,4.4318e-01,-3.3545e-01,7.6972e-01
2.9595e-02,-1.2116e-01,-1.6835e+00,3.4105e-01,5.2526e-01
-6.7390e-01,1.9272e-01,5.3345e-02,-1.0531e+00,1.2223e-01
1.0757e+00,4.8786e-01,-4.2269e-01,-1.9565e-01,7.8173e-01
-1.2565e+00,-3.6477e-01,1.2409e+00,-1.2341e+00,9.9404e-02
9.1019e-02,-6.3181e-01,-1.4993e-01,1.1399e+00,5.5890e-01
3.5495e-01,1.3171e+00,-1.4455e+00,-4.6276e-01,2.5737e-01
1.8627e+00,-1.8546e+00,1.6101e+00,-1.6560e+00,1.2887e+00
-1.3908e+00,8.1580e-01,-1.6192e+00,1.1639e-01,-5.2887e-01
-9.8774e-01,-7.9000e-02,4.4318e-01,-3.3545e-01,2.0332e-01
1.3828e+00,-1.3158e+00,-1.5536e+00,1.4157e+00,-1.4265e-01
-4.3108e-01,4.8786e-01,-3.2646e-03,-3.0674e-01,-9.2229e-01
1.1602e+00,-1.6016e+00,-3.3520e-01,9.7886e-01,2.2779e+00
1.3732e+00,-1.6801e-01,-1.9408e+00,-2.9550e-01,1.7974e+00
-1.8251e-01,6.4715e-01,-9.9907e-01,-5.1268e-01,-1.2343e-01
6.5343e-01,4.8786e-01,1.0697e+00,4.4091e-01,-1.1956e+00
-3.9653e-01,1.9272e-01,-4.0210e-01,-1.3652e+00,2.2013e-01
-3.6627e-02,-9.8317e-01,1.3461e-02,1.2722e+00,9.1688e-01
5.5746e-01,7.2211e-01,-6.2447e-02,9.1423e-02,4.0541e-02
1.9587e+00,-1.6672e+00,1.8931e+00,3.2857e-01,2.1752e+00
6.5343e-01,4.8786e-01,9.5395e-01,4.0346e-01,3.1684e-01
-2.9480e-01,1.0266e+00,6.1064e-02,-9.9322e-01,-1.5644e+00
9.0297e-01,-2.5760e+00,-1.5536e+00,2.7325e+00,1.6052e+00
