acetic,citric,suger,salt,SO2free,SO2tota,pH,sulfate,alcohol,quality
0.180,0.330,1.400,0.029,35.000,138.000,3.360,0.600,11.500,0.700
0.685,0.210,9.500,0.070,33.000,172.000,3.000,0.550,9.100,0.600
0.210,0.280,2.400,0.056,49.000,159.000,3.020,0.470,8.800,0.800
0.250,0.130,17.200,0.036,49.000,219.000,2.960,0.460,9.700,0.500
0.420,0.230,8.800,0.054,42.000,215.000,3.020,0.580,9.200,0.600
0.240,0.150,7.100,0.043,32.000,134.000,3.240,0.480,9.900,0.600
0.250,0.370,1.000,0.043,10.000,80.000,3.080,0.380,11.400,0.500
0.140,0.320,1.100,0.022,48.000,116.000,3.040,0.670,10.000,0.600
0.310,0.260,7.300,0.050,37.000,157.000,3.090,0.430,9.000,0.500
0.410,0.180,3.500,0.027,23.000,109.000,3.340,0.540,12.800,0.800
0.220,0.240,4.900,0.092,30.000,123.000,3.030,0.460,8.600,0.600
0.190,0.280,11.800,0.042,54.000,137.000,3.180,0.370,10.800,0.600
0.220,0.420,14.600,0.044,45.000,163.000,3.210,0.690,8.600,0.700
0.220,0.330,1.700,0.041,67.000,164.000,3.320,0.560,10.400,0.600
0.310,0.330,12.700,0.038,33.000,116.000,3.040,0.650,10.400,0.600
0.340,0.230,6.300,0.039,37.000,143.000,3.190,0.650,10.000,0.600
0.300,0.320,1.400,0.032,31.000,161.000,2.950,0.420,10.500,0.500
0.320,0.330,2.400,0.037,18.000,101.000,3.210,0.650,11.700,0.700
0.390,0.470,7.500,0.027,12.000,88.000,3.380,0.450,14.000,0.600
0.400,0.370,8.900,0.053,36.000,148.000,3.160,0.500,9.300,0.500
0.130,0.250,1.100,0.033,15.000,86.000,2.980,0.390,11.200,0.800
0.320,0.370,1.800,0.051,13.000,200.000,3.490,0.440,10.500,0.400
0.350,0.280,12.400,0.051,86.000,213.000,3.160,0.510,9.900,0.600
0.180,0.320,12.200,0.048,36.000,125.000,2.920,0.540,9.400,0.600
0.220,0.340,1.800,0.057,29.000,104.000,3.810,0.570,10.300,0.600
0.280,0.290,19.300,0.051,36.000,174.000,3.140,0.500,9.000,0.500
0.320,0.330,1.400,0.029,29.000,109.000,3.150,0.510,12.800,0.700
0.400,0.370,8.900,0.053,36.000,148.000,3.160,0.500,9.300,0.500
0.190,0.490,1.800,0.055,19.000,110.000,3.330,0.440,9.900,0.500
0.200,0.380,7.900,0.052,30.000,145.000,3.320,0.560,11.000,0.700
0.360,0.350,2.500,0.048,67.000,161.000,3.050,0.560,11.100,0.600
